Title	Review
TTV.Fritz0330	Best game for a phone! Never ending land of fun since creative came to IOS THANK YOU.
Minecraft is better then fortnite	"I hate you if you play fortnite in stead of mincraft 

You see the concept of fortnite is quite old and the players are too good. In Minecraft all players are equal and you can actually learn and have fun. Fortnite is filled with glitches and nothing else but battle royals. In Minecraft you can play many other games and still play the original Minecraft."
So long	This new update takes sooo long it fucken pisses me of
Absolutely terrible	"It freezes and doesn’t let me 
And it freezes or Ariana taking away points all the time .also it needs an update but it dousnt work on mobile."
This game is doodoo	This game is soo doodoo that I can’t update my parch
Good but a lot of glitches	I like playing fortnie but it keeps kicking me out when I play a game a lot of bugs but grate game
Crashes	Why does your game crash every single minute I play the game. Mobile players crash before or soon as the hit the ground can you fix it.
No	U
Bad game	it is so bad
Helps me do chalanges on the go	This is great
I would give it 5 stars but...	The game kicked me out of the servers while I was playing and it really annoyed me because I was in the middle of a 7 kill game on solos and I was about to win when it kicked me out of the game and logged me out of my account. Never. Playing. Again
Make it playable on iPod	Come on everyone loves fortnite it’s awesome but doesn’t work on iPod a lot of people have iPods.
Paper is 2	It is a very fun game I love it I play it every time I have a chance
Best Game Ever	Fortnite is the best game ever but hear me out when Ninja reports stream sniping and gets killed by a normal player and he reports them for stream sniping and he has so many people banned for no reason he should not be able to do this
EPIC!	Epic.
I am so proud	I just made 103 kills and I am in fantasy land now this game is awesome but I wish there was a skin you could get when you killed 100 people. And I wish there were challenges like in Paper.io 1
Good	Good game nice
Fortnite is fabulous	Fortnite is fun and addicting
Horrible	The main point in this game is to murder others and destroy stuff.Thats just wrong.😾😾😾
iPhone 5s	I really want fortnite on the iPhone 5s epic games can fortnite be on the iPhone 5s thank you
Glitchy	It’s sooooooo much fun but it is kind of annoying that it is always glitching
Fort nite	Fun game download times are long but worth the wait
1 star only for fortnite on mobile	In mobile graphics hella trash glitchs every where 400 ping in PS4 1000000x better
Great game	This is a great game I see nothing wrong with it and I’m hoping u can enjoy it like I do.
It is good after all	I tried it at first and it was bad then I tried it more and fix the controls and I loved it!
The game is great, but...	The updates take way too long. Plus, the motion controls feel awful. You’re better off playing on switch, Xbox, and/or ps4. It just doesn’t feel right on a phone that’s the size of your palm.(6S by the way so this just may be my problem👍) The game itself is great though. Maybe in S8 we may be able to expand our controls. If not, please let us do in S9. Either way, the game is great, just play on another platform. Edit: I can’t even play the game now. When I try to join a game, it never starts. Until this is fixed, 1 star.
TO THE TERRIBLE MAKERS OF THIS GAME	It's a Good Game
Crashing	My two boys play so I down loaded on my phone too and really enjoy it but for the last few days it keeps crashing and the game closes I can sometimes play for about 5 minutes and the it goes again if not sorted I will have to delete it
Big chungus	Tbh the game isn’t bad it’s just people always have a higher advantage at killing me or other mobile players because it’s harder to build on a phone. Other than it being a little hard to build like 90s and stuff like that and the game just kicks me out sometimes or freezes, it’s my favorite game to play with my friends and cousins.
Cool Game!!!!	This game is amazing by shooting with guns by people and I like the update Today is sword fight
Hate it	🤬🤬😢😢🔥🔥💔
Hard on...	It’s a really good game but the only thing ITS HARD ON MOBILE!Im getting used to it but building In mobile is next level!Also when I’m (INSTALLING)an update it takes forever to achaully load
Fortnite Mobile	So fun with minor violence
Fix	Lags can’t do anything. Horrible controls, bad gameplay. Lags every time I try to do something. Even on low graphics and 20 FPS.
NOT WORKING	Tryna play on the phone but it’s not connecting to the epic servers
How great it is	This game is really good
New agent but I missed it	Noooooooo  Well I saw lachlen on YouTube it was AWESOME
Amazing game... but	"This game is a masterpiece, I play it everyday, and  Epic Games have done a lovely job. Theres a problem... Whenever I update the game it and load it in, It always says

Unable to connect to Epic Servers  

Please Try again later

Even though it worked before, but other than that, this game is amazing ! Nice job Epic!!

Edit: This game is unplayable now... please fix this problem because I cannot log onto Fortnite and I have to delete the game and reinstall the game and download it again.Then adjust my Screen, so please fix this...

Edit 2: The game just became boring for me, because you just do the same thing till you win, but what's the point, I still enjoy it still, but I'll be playing Minecraft and Roblox more often, sorry"
Tl55)lt5	No tno tú tartrestás trrr4rrrrrrrr4@te
Add Free Apparently Means Less Adds	So I paid the $2.99 to get rid of all the adds yet it is still giving me adds when I play.  How can you call it add free when you still force me to watch adds??
ads	ads ads ads ads ads ads ads ads ads ads ads
FIX YOUR GAME	You need to fix the lag and he glitches and when the sword is not hitting you, you are taking damage
Honestly Amazing	I Absolutely love this game on mobile, it’s just like the PS4 or PC version there’s absolutely no difference in game, although mobile is harder to get used to/learn.
So addicting	Couldn’t stop playing so much fun
Again. And again.	Here is the reason I deleted the game the first time, and the reason I’m going to delete the second time: I get over 50% of the map, and my land disappears. I was on my land, trolling around, and it was gone in a flash. Great game, I love it. But I want to scream right now. I battered back all those continuous assaults, was waiting for another person to enter my territory, and it was gone, all my hard gained land. 🤬 UPDATE: several months later-same issue, my land disappeared for no reason. Why does this continue to happen?
Enjoyable ... it could be better.	I do very much enjoy playing the game. It’s easy to jump in and play a few rounds and then leave to carry-on with other tasks. The recent changes, adding more green arrow downs and the coin is great. However, what can you buy with the coin if you already have the skins? What’s the intent of the spinning wheel to get coin with nothing in which to use them for. I have tens of thousands of coin. Yet nothing in which to use them on. The number of pop up ads is crazy. After you die or complete a level. I complete a level typically without dying so I see a lot of ads. Additionally, when I’ve watched an ad after I’ve died and regain my life again often times I fall straight into a dead zone. There should be some sort of delay when you get back from watching an ad or you should go to a circle ring with no dead zones as you do at the beginning of a level.
Hi	Best game to play
Lit	Best game ever but it’s dead now
Bad game	I wasted 1000 dollars and I get no ironic f### this game onestly and I can’t find no weapons and then die FIX THIS
How do you update Fortnite???	I have tried to update Fortnite and it doesn’t work 🤬🤬🤬
Make for more Phones	Hey this is such uh good game but you need to make it for more phones
Very good	It is so good I play it Avery time
😢	The only reason why I wouldn’t give this game a 5 stars is because I played this game so much that I was level 930 something then one day it stop working and till this day I doesn’t work 😢
Fortnite	This game is fun but the update is not working on mobile
They don't care.	"Addicting as it is, it's not a good game. Addictive shouldn't be the reason why a game gets five stars. Reasons why this game is crap.

1.) Repeating levels. There are 5-10 level designs that will continuously reapet each other. Low effort.

2.) Ads. They creator(s) of this game care for nothing more than ad revenue. You know you would make the same IF NOT MORE ad revenue if you at least cut the ads in half because players wouldn't quit and tell others to quit, too.

I am giving an EXTREMELY generous 2 stars. This game only deserves that one extra star because it'll occasionally give pleasure to get past a level when I'm bored.

Not to brag, heh heh, but I'm on level 170 and my high score is 600,000. Oh yes, and support to reason 1, for every single episode I've completed they've used the same 7, 8 level designs.

Do not recommend this game. Creator(s) have 0 care for consumers and 100% care to ad revenue. Game is trash."
Fortnite mobile is trashy ness trash	The mobile game is trashy trash and more trashed trashy when I press shoot you know what is does it doesn’t shoot the skins are very thicc and yeah. I like to have me fortnight good but it bad
F	Can you just Mack stitch free like the chopper parts
👌	Got’em!!!
fire	best game ever
AMAZING	It works just fine for me pretty fun game
Fortnite ipod	This game has to go on iPod
Lots of updates unlike pub g	So I love the fact this is addictive and fun but what makes it the best is the lots of awesome updates and new seasons again lots of updates love it can’t say it enough but one more thing to so much updates unlike pub g and that’s why pub g is not fun it would need more updates so that’s why Fortnite is the best.
:(	This was my favorite game, however I reached level 300 and the game completely crashed. Not sure if I delete it, because I for sure don’t want to start over.
Update update oh look an update. Omg	Headline says it all. Always updating it kinda gets old after awhile. Wish it can automatically update?
Yes yes I’m ready for Fortnite	Yeeeeeeeeeeeeeees
Great but the stuff about it I’ll tell you	Fortnite is a great game but the lag is really bad sometimes and most of the time it kicks me of the app and has to reload and it’s really slow to load lastly,I play on Mobil and Xbox takes so Buick to load but Mobil takes so long I know epic games tries there best tho so thx it’s a great game make sure to be nice to everyone in the world and live a great life so thank you all for reading this I know it’s kindof Long FYI parents if your child is under the age  of 10 don’t let them play the game it’s pretty violent
Controller support	Can u guys pls make it compatible with controller pls it wold be really good you can put the people on mobile with a controller with ps4 and X box people that way it’s fair for the other one that don’t have one pls put Bluetooth controller support pls pls pls
I love it!	I’m in love with this game I’m one level 5698 I’m addicted to this game me and my friends play it non stop I love it
Was a good game	I don’t know what to say but this game isn’t what it used to be.
This game is 100%fun!	I got 1,297,103victorys!
The best battle royale	The game is so good every day something good coming and u could meet good people
Sooooooooo fun!!!	This game is great. It’s so addictive and the sounds of the ball makes🤩🤩
It’s broken	They don’t focus on fixing any problems in the game. All they do is add new useless stuff that makes the game less enjoyable. Ex. Planes Boom Boxes, Zombies. They don’t listen to the community what so ever. They are ruining this game.
Good Game. Just Options for IPad...	"It’s really a good game. It’s just that if you update it..it will take FOREVER to download and the waiting is very far apart.
The graphics too, all I can get is low, not medium or high. 
I hope you can fix this, I know a lot of people are having this problem and I hope you’re going to fix this Epic Games."
Wow!	"This game is the best game ever! You will have so much fun playing!
Kalina Estrada"
Amazing Game	I absolutely love this game. It’s one of my favorite games! The concept is fun and it never bores because it’s always different! I would highly recommend this game to anyone!!
Ko	Hello epic games am love fortnite place band thes pc and play stecehon am no cant killhm is srhaowd multiplayer am player moblie :-(
The best game	This game is the best game with the best graphics I had ever seen
Wooooow.	This is the best game ever.Because you can do fun stuff,and create anything you want,and also do challenges at maps
Here we go	So fortnite is an amazing game but they put a battle pass which costs 950 v-bucks. But I think they should do like what they did for season 8. A free battle pass
Best game	Every thing good
Should allow 6 and 6 plus playable	It’s not fair that the 6 and 6 plus are not playable epic should fix that
Laggy	Amazing game but it’s very laggy. Every few seconds my game will freeze and say “connection lost” then continue. I know for sure it’s not my WiFi because everything else is working perfectly fine, please fix this and I’ll give a better rating.
To many changes	THEY NEED TO LOSE THE SKATE BOARDS BALLERS ETC.AND TO MATCH YOU WITH THE ONES WHO ARE CLOSE TO YOUR SAME SKILLS YOU LOSE INTREST WHEN YOU GET SHOT BEFORE YOU TAKE YOUR FIRST STEEP AND IT DOES NO GOOD TO ASK FOR THESE THINGS IT WILL NOT HAPPEN IF YOU ARE NEW TO THE GAME DONT TRY THEY WILL EAT YOU ALIVE
Nice	It’s such a good game!!!!!!!!!!!!!!!!!!
Soooo good	I usually play everyday and there is no problems
Come on Fortnite!	You know that you are dying. You need to accept that fact.
I Hate You Fortnite	"WHY! Why would you ever vault the pump.
IM DISGUSTED"
Lag issue	Whenever im loading into a match the loading screen takes FOREVER and im at the end of the bus and i just sit there waiting for it to load and im already skyfalling halfway down the map also in the afternoon i cant really play cause the lag is real like i cant even tell whats going on cause theres so much lag
Bad	This game is trash
About the game	The gamer overall is great but now when I play it it just cuts out I lose everything. What in the world is going on?
Stop trying so hard	You’re guys game is really good I love and a lot of people at my school love it’s just that season 8 you guys were trying so hard and others seasons Ive been playing side season to but my favorite season was 4 and 5 and 3 until you tried so hard instead of having the classic game I’m not saying to delete all of the new update but like add the drum gun an tacticalSMG back but maybe take away some bad updates
Excellent	I have no problems at all with this game. It’s a family, friendly game everyone can play this
Hello	Can you guy add it for the ipod5 please
Ugggghhhhh!	This game is the most infuriating game ever, honestly, I’ve played about 50 games today, and it’s lagged me out before I’ve landed, every single time. Also the graphics are horrible. If your thinking about getting Fortnite, don’t wast your time on the mobile version, go play on pc or console.
Good game huge problem	This game is great I love it I’ve played from pretty much day one and in grinded up to a few mental rooms. But there’s one huge huge huge problem. I reset my phone bc of a virus but befor I triple checked all my games to make shere there saved to my account and to make shere the where saved and able to be restored but form point A to B something happened and my stuff was not there. It’s anoyyimg bc I had spent a good $40-$50 on the game. So all I ask for is a way to restore perches bc loosing my base is anoying but I’d rather have the stuff I bought at the very least. But as I said great game fun stuff new stuff at least 2 times a month. So I’m going to keep playing and get all my stuff back but try it u won’t be disappointed
